"CodigoTramo","RutaNumero","RutaProvincial","RutaTramo","RutaTipo","RutaLongitud","RutaEstado","RutaSeccion","RutaObservacion","Fecha","Hora"
72,7,1,"Lte c/Río Negro - El Cruce (Emp RP 8)","Pavim",18,"TCP","","Tránsito intenso. Transitar a velocidad precautoria. Zona con animales sueltos.","02/09/2026","15:00"
74,7,1,"Emp RP 8 (El Cruce) - Añelo (Emp. RP 17)","Pavim",45,"TCP","","Calzada húmeda, banquinas con barro. Transitar con extrema precaución baches profundos. Portación obligatoria de cadenas.","02/09/2026","15:00"
76,7,1,"Añelo (Emp. RP 17) - Emp. RP 5","Pavim",62,"TCP","","Tránsito intenso.Transitar a velocidad precautoria. Desvíos por obras. Equipos operando. Portación obligatoria de cadenas.","02/09/2026","15:00"
78,7,1,"Emp. RP 5 - Los Ranquiles - Emp. RN 40","No Pav",120,"TCP","Cortaderas obra de pavimentación","Transitable con precaución por sectores poceados,barro y serrucho. Portación obligatoria de cadenas","02/09/2026","15:00"
80,8,1,"Emp. RP 51 - Emp. RP 7","Pavim",8,"TCP","","Tránsito intenso. Transitar a velocidad precautoria. ","02/09/2026","15:00"
82,8,1,"Emp. RP 7 (El Cruce) - Crucero Catriel","No Pav",108,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Equipos operando.","02/09/2026","15:00"
110,11,1,"Los Cruceros - Moquehue (Emp. RP 13)","No Pav",14,"TCP","","Sectores poceados y hielo  . Equipos operando. Portacion obligatoria de cadenas.","02/09/2026","15:00"
113,11,1,"Moquehue - Ñorquinco","No Pav",36,"TCP","","Sectores poceados y barro. Portación obligatoria de cadenas. Pte. Lonco Mula - Pte. Nompehuen: sectores con huellones y barro. Animales sueltos.","02/09/2026","15:00"
116,11,1,"Ñorquinco - Emp. RP 23","No Pav",31,"TCP","","Sectores poceados, barro.Portacion obligatoria de cadenas. Transitar a velocidad precautoria. Equipos operando. Zona con animales sueltos.","02/09/2026","15:00"
130,13,1,"Zapala - Primeros Pinos","Pavim",50,"TCP","No transitar en horario nocturno","Sectores con baches. Posibles animales sueltos. Portación obligatoria de cadenas.","02/09/2026","15:00"
133,13,1,"Primeros Pinos - Litrán","No Pav",55,"I","No transitar ","Acumulacion de nieve y hielo .","02/09/2026","15:00"
136,13,1,"Litrán - Angostura - Gendarmería - Batea Mahuida","Pavim",16,"TCP","No transitar en horario nocturno","Baja adherencia por acumulación de nieve. Uso obligatorio de cadenas. Equipos operando. No transitar en horario nocturno.","02/09/2026","15:00"
138,13,1,"Angostura / Gendarmería - Paso Icalma","Pavim",9,"TCP","","Calzada con baja adherencia por acumulación de nieve. Uso obligatorio de cadenas . Equipos operando. ","02/09/2026","15:00"
9004,13,0,"Paso Icalma","Pavim",0,"TCP","","Sectores con hielo .Portacion oblligatoria de cadenas.","02/09/2026","15:00"
140,14,1,"Zapala (Emp. RN 22) - Covunco Centro","Pavim",21,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.Portacion obligatoria de cadenas.","02/09/2026","15:00"
143,14,1,"Covunco Centro - Emp RN 40 (Acc. Bajada del Agrio)","No Pav",53,"TCP","","Equipos operando. Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.","02/09/2026","15:00"
160,16,1,"Tres Piedras - Balsa Paso de los Indios","No Pav",60,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.","02/09/2026","15:00"
170,17,1,"Emp. RP 8 - Añelo","No Pav",47,"TCP",""," Sectores poceados.  Animales sueltos.","02/09/2026","15:00"
173,17,1,"Añelo - Plaza Huincul","Pavim",84,"TCP",""," Sectores con baches. Transitar a velocidad precautoria. Calzada deteriorada. Portación obligatoria de cadenas.","02/09/2026","15:00"
176,17,1,"Plaza Huincul - Picún Leufú (Emp. RN 237)","Pavim",75,"TCP","","Sectores con baches. Transitar a velocidad precautoria. ","02/09/2026","15:00"
180,18,1,"Emp. RP 23 - Ruca Choroi","No Pav",28,"TCP",""," Sectores poceados y barro. Equipos operando. Animales sueltos.","02/09/2026","15:00"
190,19,1,"Emp.RN 40 - Cerro Chapelco","No Pav",5,"TCP","","Sectores con hielo. Portación obligatoria de cadenas.","02/09/2026","15:00"
200,20,1,"Picún Leufú - Limay Centro - Paso Aguerre - Emp. RN 40","No Pav",77,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.","02/09/2026","15:00"
203,20,1,"Emp. RN 40 (Aguada del Overo) - Chacaico Sur - Emp. RP 46 (Espinazo del Zorro)","No Pav",57,"TCP","","Sectores poceados y barro. Transitar a velocidad precautoria. Zona con animales sueltos.","02/09/2026","15:00"
210,21,1,"Emp. RN 242 - Huarenchenque - Loncopué","Pavim",59,"TCP","No transitar en horario nocturno","Sectores con baches y deformaciones. Animales sueltos. Portacion obligatoria de cadenas.","02/09/2026","15:00"
213,21,1,"Loncopué - El Huecú","Pavim-No Pav",57,"TCP","No transitar en horario nocturno","Sectores poceados. Portación de cadenas obligatorio","02/09/2026","15:00"
216,21,1,"El Huecú - Mandolegue - El Cholar","No Pav",31,"TCP","","Sectores poceados y barro. Portación obligatoria de cadenas.","02/09/2026","15:00"
220,22,0,"Neuquén - Arroyito","Pavim",49,"TCP","","Calzada normal. Tránsito intenso","02/09/2026","15:00"
226,22,0,"Arroyito - Plaza Huincul - Cutral-Có","Pavim",59,"TCP","","Zona con animales sueltos. Portación obligatoria de cadenas.","02/09/2026","15:00"
228,22,0,"Cutral-Có - Zapala","Pavim",77,"TCP","","Zona con animales sueltos. Portación obligatoria de cadenas. ","02/09/2026","15:00"
230,23,1,"Junín de los Andes - Malleo","Pavim-No Pav",31,"TCP","","Calzada húmeda baja adherencia por hielo. Animales sueltos. Portación obligatoria de cadenas. Equipos operando.","02/09/2026","15:00"
232,23,1," Malleo - Pilo Lil","Pavim",20,"TCP",""," Animales sueltos. Portación obligatoria de cadenas. Equipos operando.","02/09/2026","15:00"
233,23,1,"Pilo Lil - Rahue (Emp. RP 46)","No Pav",37,"TCP","","Cortes momentaneos en progresivas 6100 y 13600. Respetar indicaciones de banderilleros.Sectores poceados. Portación obligatorio de cadenas.","02/09/2026","15:00"
234,23,1,"Rahue (Emp. RP 46) - Aluminé","Pavim",15,"TCP","","Calzada húmeda. Portación obligatoria de cadenas. Transitar a velocidad precautoria. Sectores con baches. Animales sueltos. ","02/09/2026","15:00"
235,23,1,"Aluminé - Litrán (Emp. RP 13)","Pavim-No Pav",50,"TCP",""," Calzada con baja adherencia por lluvia y nevisca. Sectores poceados, hielo y barro. Obra de pavimentación en ejecucuión. Desvíos.","02/09/2026","15:00"
236,23,1,"Emp. RP 13 (Litrán) - Pino Hachado","No Pav",34,"I","Desvíos por obra de pavimentación","Intransitable. Acumulacion de nieve, barro y hielo. Obra de pavimentación en ejecución. Sectores poceados y barro. ","02/09/2026","15:00"
240,24,1,"Emp. RN 40 (Calcatre) - Las Coloradas - Fortín 1º de Mayo (Emp. RP 46)","No Pav",39,"TCP","","Sectores poceados y barro, sectores con hielo. Pronóstico de bajas temperaturas. Transitar a velocidad precautoria. Zona con animales sueltos. Equipos operando.Portacion obligatoria de cadenas.","02/09/2026","15:00"
260,26,1,"Loncopué - Riscos Bayos - Hualcupén","Pavim",29,"TCP","","Portación obligatoria de cadenas.","02/09/2026","15:00"
263,26,1,"Hualcupén - Cajón Chico - Caviahue","Pavim",17,"TCP","","Cinta asfaltica mojada.Portacion obligatoria de cadenas.","02/09/2026","15:00"
266,26,1,"Caviahue - Copahue","No Pav",20,"I","","Acumulacion de nieve y hielo.","02/09/2026","15:00"
310,31,1,"Emp. RP 33 - Huncal - Ranquilón - Emp. RP 4","No Pav",83,"TCP","","Sectores poceados y barro. Zona con animales sueltos. Portación obligatorio de cadenas.","02/09/2026","15:00"
320,32,1,"Loncopué - Huncal (Emp. RP 10)","No Pav",35,"TCP","","Sectores poceados, barro. Zona con animales sueltos. ","02/09/2026","15:00"
330,33,1,"Emp. RN 40 - Quintuco - Emp. RP 10","No Pav",53,"TCP","","Sectores poceados, barro.Acumulacion minima de nieve. Transitar a velocidad precautoria. Zona con animales sueltos","02/09/2026","15:00"
370,37,1,"Emp. RP 2 - Wayle","No Pav",24,"TCP","","Sectores poceados ,barro. Zona con animales sueltos. Portación obligatoria de cadenas.","02/09/2026","15:00"
373,37,1,"Wayle - Laguna Trómen - Emp. RP 53","No Pav",44,"I","","Sin mantenimiento invernal.","02/09/2026","15:00"
380,38,1,"Andacollo - Los Miches","No Pav",19,"TCP","","Sectores poceados y barro. Cortes transversales. Portacion obligatoria de cadenas.","02/09/2026","15:00"
390,39,1,"Andacollo - Huinganco","No Pav",5,"TCP","","Sectores poceados, barro. Portación obligatoria de cadenas. Caida de piedras.","02/09/2026","15:00"
400,40,0,"Chos Malal - Barrancas","Pavim",127,"TCP","Portacion obligatoria de cadenas","Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. ","02/09/2026","15:00"
401,40,0,"Las Lajas (Emp. RN 242) - Chos Malal","Pavim",165,"TCP","","Calzada húmeda. Posible formación de hielo. Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. Portación obligatoria de cadenas","02/09/2026","15:00"
402,40,0,"Zapala - Las Lajas (Emp. RN 242)","Pavim",54,"TCP","","Calzada húmeda. Posible formación de hielo en sectores. Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. Portación obligatoria de cadenas","02/09/2026","15:00"
403,40,0,"Zapala - La Rinconada (Emp. RN 234)","Pavim",172,"TCP","","Calzada húmeda. Posible caída de piedras. Zona con animales sueltos. Personal y equipos operando en el despeje. Portación obligatoria de cadenas.","02/09/2026","15:00"
404,40,0,"La Rinconada - Junín de los Andes - San Martín de los Andes","Pavim",88,"TCP","","Calzada húmeda. Posible formación de hielo en sectores. Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. Portación obligatoria de cadenas","02/09/2026","15:00"
405,40,0,"San Martín de los Andes - Acc. Chapelco","Pavim",15,"TCP","","Calzada húmeda. Posible formación de hielo en sectores. Tránsitar a velocidad precautoria. Personal y equipos operando. Animales sueltos. Portación obligatoria de cadenas","02/09/2026","15:00"
406,40,0,"Acc. Chapelco - Lago Villarino","Pavim",43,"TCP","","Calzada húmeda. Posible formación de hielo en sectores.Zona con animales sueltos. Equipos operando. Portación obligatoria de cadenas","02/09/2026","15:00"
407,40,0,"Lago Villarino - Emp. RN 231 - Villa la Angostura","Pavim",54,"TCP","","Calzada húmeda.. Posibles desmoronamientos. Zona con animales sueltos. Personal y equipos operando en el despeje. Portación obligatoria de cadenas.","02/09/2026","15:00"
408,40,0,"Villa La Angostura - Emp. RN 237","Pavim",64,"TCP","","Calzada húmeda. Posible caída de piedras. Zona con animales sueltos. Personal y equipos operando en el despeje. Portación obligatoria de cadenas.","02/09/2026","15:00"
409,40,0,"Emp. RN 237 - Pte Río Limay (Lte c/Río Negro)","Pavim",3,"TCP",""," Calzada húmeda, sectores con lluvia. Posible caída de piedras en el km 2.095. Zona con animales sueltos. Personal y equipos operando en el despeje. Portación obligatoria de cadenas.","02/09/2026","15:00"
8002,40,1,"Acc Quila Quina (RN 40)","No Pav",12,"TCP","","Sectores poceados. Barro.Equipos operando en tareas de despeje.Portacion obligatoria de cadenas.","02/09/2026","15:00"
8004,40,0,"Acc. Lago Hermoso (RN 40)","No Pav",3,"TCP","","Sectores poceados y barro.","02/09/2026","15:00"
8006,40,0,"Acc. Camping Catritre (RN 40)","No Pav",2,"TCP","","Sectores poceados y barro.","02/09/2026","15:00"
410,41,1,"Emp. RP 43 (Caepe Malal) - Aquihueco - Cajón del Curi Leuvú","No Pav",39,"TCP","","Sectores poceados, barro. Cortes tranversales. Portación obligatoria de cadenas.","02/09/2026","15:00"
430,43,1,"Chos Malal - Los Menucos - La Primavera","Pavim",42,"TCP","","Cinta asfaltica mojada. Fuertes rafagas de viento. Animales sueltos. Portacion obligatoria de cadenas.","02/09/2026","15:00"
433,43,1,"La Primavera - El Llano - Andacollo","Pavim",14,"TCP","","Cinta asfaltica mojada. Fuertes rafagas de viento. Animales sueltosales sueltos.Equipos operando.","02/09/2026","15:00"
436,43,1,"Andacollo - Cayanta - Bella Vista - Las Ovejas","Pavim",37,"TCP","","Cinta safaltica mojada.Animales sueltos. Portación obligatoria de cadenas.","02/09/2026","15:00"
438,43,1,"Las Ovejas - Varvarco - Aº Ailinco","No Pav",67,"TCP","No transitar en horario nocturno","Sectores poceados y barro. Portación obligatoria de cadenas. Obra de pavimentación en ejecución. Sectores poceados . Animales sueltos. La Matansilla - Ailinco: TCP.","02/09/2026","15:00"
460,46,1,"Emp. RN 40 (a 10 Km de Zapala) - Emp. RP 24","Pavim",81,"TCP","","Sectores con hielo. Posibles animales sueltos. Portacion obligatoria de cadenas.","02/09/2026","15:00"
463,46,1,"Emp. RP 24 - Rahue (Emp. RP 23)","No Pav-Pavim",30,"TCP","","Sectores poceados.Portacion obligatoria de cadenas.Equipos operando","02/09/2026","15:00"
466,46,1,"Rahue (Emp. RP 23) - Lago Quillén - Lago Hui Hui","No Pav",39,"TCP"," ","Sectores con hielo. Portacion obligatoria de cadenas.","02/09/2026","15:00"
480,48,1,"San Martín de los Andes - Paso Hua Hum","Pavim-No Pav",47,"TCP","RN 40 - Acc. Quilanlahue.","Sectores poceados, barro. Portación obligatoria de cadenas. Equipos operando.","02/09/2026","15:00"
8008,48,1,"Acc. Bandurrias (RP 48)","No Pav",15,"TCP","","Sectores poceados, barro. Portación obligatoria de cadenas.Equipos operando.","02/09/2026","15:00"
8010,48,1,"Acc. Chachin - Lago Queñi (RP 48)","No Pav",20,"TCP","Lago Quilanlahue con hielo sobre calzada.","Sectores poceados, barro. Portación obligatoria de cadenas.Equipos operando.","02/09/2026","15:00"
9006,48,0,"Paso Hua Hum","No Pav",0,"TCP","Consultar horarios barcaza","Sectores poceados. Portación obligatoria de cadenas.","02/09/2026","15:00"
500,50,1,"Emp. RN 237 - Emp. RN 234","No Pav",44,"TCP","","Sectores poceados y barro. Transitar a velocidad precautora. Zona con animales sueltos. ","02/09/2026","15:00"
510,51,1,"Emp. RP 7 - Emp. RP 8","Pavim",27,"TCP","","Tránsito intenso. Transitar a velocidad precautoria. ","02/09/2026","15:00"
522,52,1,"Emp. RN 40 - Emp. RP 62 (Colohuincul)","No Pav",20,"TCP","","Sectores poceados y barro.Portacion obligatoria de cadenas.","02/09/2026","15:00"
600,60,1,"Emp. RP 23 - Portada PN Lanín","Pavim",34,"TCP","","Calzada resbaladiza. Formacion de hielo. Equipos operando . Portacion obligatoria de cadenas.","02/09/2026","15:00"
602,60,1,"Portada PN Lanín - Paso Mamuil Malal (Lte con Chile)","No Pav",12,"TCP","","Calzada con baja adherencia por lluvia. Sectores poceados. Obra de pavimentación, equipos y personal vial operando. Portación obligatoria de cadenas.","02/09/2026","15:00"
9008,60,0,"Paso Mamuil Malal (ex Tromen)","No Pav",0,"TCP","","Sectores poceados, barro. Calzada con baja adherencia por lluvia. Equipos operando. Uso obligatorio de cadenas.","02/09/2026","15:00"
610,61,1,"Junín de los Andes (Emp. RN 40) - Pte Río Chimehuín - Lago Paimún","Pavim-No Pav-Pavim-No Pav",53,"TCP","","Sectores poceados, barro y hielo. Calzada reducida por obras. Respetar señalización e indicaciones. Equipos operando.Uso obligatorio de cadenas.","02/09/2026","15:00"
620,62,1,"San Martín de los Andes (Emp. RN 40) - Lago Lolog y Carruhué - Lahuencó Epulafquen - Paso Carrirriñe","Pavim-No Pav",88,"TCP","","Calzada humeda. Formacion de hielo. Portación obligatorio de cadenas. Resto intransitable . Lolog - Carrirriñe: INTRANSITABLE. ","02/09/2026","15:00"
630,63,1,"Emp. RN 40 - Pte Río Meliquina - Pte Río Filo Hua Hum - Paso Córdoba - Confluencia (Emp. RN 237) ","No Pav",69,"TCP","Paso Córdoba - Emp. RN 237","Sectores poceados, barro y nieve. Portación obligatoria de cadenas. Paso Cordoba - Emp. RN 237 intransitable. Acumulación de nieve. Equipos operando.","02/09/2026","15:00"
640,64,1,"Emp. RP 63 - Caleufú - Lago Filo Hua Hum","No Pav",10,"TCP","Acceso al Lago Filo Hua Hum Intransitable.","Extrema precaucion. Sectores poceados, barro y nieve. Uso obligatorio de cadenas.","02/09/2026","15:00"
650,65,1,"Confluencia - Villa Traful - El Portezuelo","No Pav",61,"TCP","","Sectores poceados y barro. Portación obligatorio de cadenas. Obra en ejecucion, respetar las indicaciones de las señales. ","02/09/2026","15:00"
660,66,1,"Emp. RN 40 - Cerro Bayo","No Pav",6,"TCP","Prohibido ascenso de vehiculos de gran porte.","Formacion de hielo.Sectores poceados. Uso obligatorio de cadenas. Equipos operando en tares de bacheo.","02/09/2026","15:00"
2310,231,0,"Emp. RN 40 (a 6 Km de Villa la Angostura) - Paso Cardenal Samoré","Pavim",32,"TCP","","Calzada mojada. Posible caída de piedras. Zona con animales sueltos. Personal y equipos operando en el despeje. Portación obligatoria de cadenas.","02/09/2026","15:00"
9010,231,0,"Paso Cardenal Samoré","Pavim",0,"TCP","","Acumulacion minima de nieve. Portacion obligatoria de cadenas.","02/09/2026","15:00"
2340,234,0,"La Rinconada (Emp. RN 40) - Pte Collón Curá (Emp. RN 237)","Pavim",58,"TCP","","Transitable con precaución. Calzada despejada. Zona con animales sueltos. Posibles desprendimientos de rocas. Equipos operando. Portacion obligatoria de cadenas","02/09/2026","15:00"
2370,237,0,"Emp. RN 22 (Arroyito) - Piedra del Águila","Pavim",175,"TCP","","Transitable con precaucion. Calzada despejada. Posible formación de hielo en sectores. Zona con animales sueltos. Portación obligatoria de cadenas. Equipos operando.","02/09/2026","15:00"
2373,237,0,"Piedra del Águila - Pte Collón Curá (Emp. RN 234)","Pavim",76,"TCP","Portacion obligatoria de cadenas.","Extrema precaución. Calzada humeda. Visibilidad reducida por neblina. Posible formación de hielo. Posible caída de piedras. Zona con animales sueltos. Equipos operando.","02/09/2026","15:00"
2376,237,0,"Pte Collón Cura (Emp. RN 234) - Confluencia (Emp. RP 63 y 65)","Pavim",64,"TCP","Portacion obligatoria de cadenas.","Extrema precaución. Calzada humeda. Visibilidad reducida por neblina. Posible formación de hielo. Posible caída de piedras. Zona con animales sueltos. Equipos operando.","02/09/2026","15:00"
2378,237,0,"Confluencia - Emp. RN 40","Pavim",46,"TCP","Portacion obligatoria de cadenas.","Extrema precaución. Calzada humeda. Lloviznas. Posible formación de hielo en sectores. Posible caída de piedras. Zona con animales sueltos. Equipos operando. Portación oblig","02/09/2026","15:00"
2420,242,0,"Las Lajas (Emp. RN 40) - Emp. RP 21","Pavim",10,"TCP","","Calzada húmeda. Posible formación de hielo en sectores. Zona con animales sueltos. Portación obligatoria de cadenas.","02/09/2026","15:00"
2425,242,0,"Emp. RP 21 - Emp. RP 23 (a 500m Aduana Pino Hachado)","Pavim",41,"TCP",""," Posible presencia de hielo en sectores. Zona con animales sueltos. Portación obligatoria de cadenas.","02/09/2026","15:00"
2427,242,0,"Emp. RP 23 - Paso Pino Hachado","Pavim",9,"TCP","km 48 caida de piedras","Sectores con hielo y nieve. Zona con animales sueltos. Portación obligatoria de cadenas.","02/09/2026","15:00"
9002,242,0,"Paso Pino Hachado","Pavim",0,"TCP","","Nevando.Equipos operando. Habilitado a partir de las 11:30hs","02/09/2026","15:00"
